,Tweets
267,"RT @olex_scherba: A #Ukraine girl selling cookies to help the army. Putin, you can’t win here! @ukraine_world 

#StandWithUkraine #UkraineW…"
437,"Vai a scopare te stesso, Putin!
(Italian)

#RussiaInvadedUkraine #PutinWarCrimes #StopPutin #Ukraine"
983,RT @rogue_corq: Over 3.5 million Ukrainians left homeless due to Russian invasion https://t.co/CqBVPhYKcH #Ukraine
733,ЧВК Вагнера завербовала более 1000 российских заключенных на войну в Украину – Верстка https://t.co/3risrqJkhM #Russia #Ukraine
31,RT @UAWeapons: #Ukraine: The Ukrainian 80th Air Assault Brigade destroyed another Russian armoured vehicle (Claimed to be a BMP IFV) which…
22,RT @marcgarlasco: My thoughts on the @amnesty report on #Ukraine. These are my personal thoughts and not affiliated with any of the orgs I…
700,"RT @TV9Bharatvarsh: अयोध्या में जमीन घोटाले से जुड़ी बड़ी खबर
#WorldNews | #NitishKumar | #Bihar | #Bangladesh | #Sports |  #CWG2022 | #ISR…"
609,"@MahQaddoha #gazaunderattack
#IsraeliTerrorism 
#IsraeliCrimes 
#Ukraine"
448,RT @Louisalesandrin: Hier matin à #Marseille atteinte à la #liberté d'expression lors du rassemblement de soutien à l’#Ukraine devant la ma…
209,RT @WarintheFuture: 12/ If #Ukraine can address these shortfalls - and current battlefield trends continue - we may see a shift in the tact…
90,RT @PaulGARDE19: @RoyalSegolene On pourrait la nommer ambassadrice en #Ukraine. Elle y ferait autant de boulot qu'aux pôles   mais pas sûr…
337,"Russia’s Looming Defeat in Ukraine by Simon Johnson 
サイモン・ジョンソンによるウクライナでのロシアの迫り来る敗北
#UkraineRussianWar #UkraineWar… https://t.co/MD61ZNUhZj"
379,"RT @SMADESTEK_BEBEK: Sesimizi duyanlar ,duymayanlara lütfen hatırlatsın 🤗@smayusufpolat zamanımız kalmadı 🥲#Ukraine #PremierLeague #Ajax #G…"
474,RT @artistinaspen: #Breaking #CPACTexas Dallas: President Trump wins straw poll before he addresses disaster at Southern border #Immigratio…
819,#BREAKING: Another video confirms killings of the pro-#Russian #POW s after their capture by the #Kiev #Nazis in… https://t.co/fyOjplsyPp
