,Tweets
414,#Ukraine: Ukrainian group CRAF UA repainted a captured Gaz Tigr IMV. It will now serve Ukrainian forces in combat. https://t.co/zJwsVfsMoh
686,"RT @jdoeschner: Reminder!

#Atomkraft #Ukraine #Saporischschja"
137,"RT @isabelschayani: Dieses Thema zeigt neben der Hoffnung, dass Diplomatie mal eine kleine Strecke weiterhilft, den Bedarf an positiven Nac…"
32,"RT @ViolavonCramon: 14 years ago today, #Russia launched a war against #Georgia. Back then, 🇷🇺 aggression went largely unpunished. We are n…"
280,PPN World News - 7 Aug 2022 • Israeli airstrikes in Gaza • Russian rockets damage nuclear plant… https://t.co/BbGhrF6nzD
963,RT @ishraqueBD: #Bangladesh raises fuel prices by fifty percent right when global crude oil prices plunges to a new low since #Ukraine #Rus…
195,"Pope meets #Russia envoy; decrees #Ukraine-based priest martyr https://t.co/y0WF0lZLbq headline a bit misleading, a… https://t.co/Z4ngH5GuYg"
25,"Footage of weapons seized by Russian servicemen from positions of Ukrainian troops on the Izyum axis.

#UkraineWar… https://t.co/iMcCFeZS3i"
378,"RT @NFSC_HAGnews: 🔥#Russia is trying to reconcile with #Ukraine 👉make the Chinese a scapegoat for its own wrongdoings.

🔥CCP will stir up h…"
977,"RT @mil_in_ua: 🇺🇦З Днем Повітряних Сил Збройних Сил України

Повітряні Сили боронять українське небо і дають гідну відсіч російському агрес…"
675,"RT @KentPage: ""All children everywhere have the right to this kind of help, no matter who they are or where they’re from.”

~#UNICEF Goodwi…"
673,"RT @Aliz3n3: ♥️ ALGLAND #nftart

ALGLAND #08 : the golden light that replaces the blue sky

0.75 #ETH

A wonderful landscape reminiscent of…"
969,RT @KuB_Berlin: regulars will already know: every sunday there is a community-powered meet-up directed at Black people and other people of…
758,"RT @Circonscripti18: Ceux qui doutent des objectifs guerriers de #Washington 🇺🇸
Secrét.Général #OTAN, Stoltenberg : ""J'insiste, l'OTAN insi…"
809,Keep those arms coming #Washington. #Russia just destroyed the last 45 tonnes you sent to #Ukraine. Don't fight a m… https://t.co/ZUE6j9BHpX
724,"RT @UAWeapons: #Ukraine: The first documented loss of a very valuable and modern Russian R-439-MD2 satellite communication vehicle.

This w…"
965,"Nous vivons dans un monde de salops ! Le monde ""libre"" s'est insurgé contre la guerre en #Ukraine, mais lorsqu'il s… https://t.co/vhM0wkttVU"
108,"RT @MrKovalenko: On August 6, the #Ukrainian Armed Forces destroyed on the occupied south of #Ukraine 4 Russian anti-air launchers S-300 (a…"
text,"0       R
1       R
2       R
3       R
4       R
       ..
988     @
992     ‘
994     R
999     R
text    R
Name: Tweets, Length: 421, dtype: object"
89,RT @Hannah94733982: The world admirably reacted to what is happening in #Ukraine let the world now show a fraction of that same reaction to…
474,RT @artistinaspen: #Breaking #CPACTexas Dallas: President Trump wins straw poll before he addresses disaster at Southern border #Immigratio…
710,"RT @Ukraine66251776: ""We are transitioning from an American egocentric world to a truly multi-polar world"" 
""The West attempt to impose its…"
866,"Gaan fuck jouself, Poetin!
(Afrikaans)

#IStandWithUkraine #Ukraine #FuckPutin #UkraineRussiaWar"
0,"RT @TWMCLtd: The dangers facing #Ukraine's farmers are manifold.

Recently we saw tractors battling to harvest before flames engulfed the c…"
